Name,Category,Created,Tags,URL
COMBINED OPERATIONS BOOKS,Unit,3/2/19 20:47,"Commando,Bibliography",http://combinedops.com/Books.htm
"HISTORY OF 30 ASSAULT UNIT, 1942-1946",Unit,3/3/19 9:02,"Commando,UK,UNIT",http://www.kingscollections.org/catalogues/lhcma/collection/h/xh40-001?searchterms=30+Assault+Unit
Observer Group - Wikipedia,Unit,3/3/19 19:39,"Commando,marnies",https://en.wikipedia.org/wiki/Observer_Group#cite_note-Rottman_1948-4
List of former United States special operations units,Unit,3/3/19 19:42,"Commando,US",https://en.wikipedia.org/wiki/List_of_former_United_States_special_operations_units
Underwater Demolition Team,Unit,3/4/19 12:03,"Commando,UDT,Naval Units,Navy Souts and Raiders,Phil H. Bucklew",https://en.wikipedia.org/wiki/Underwater_Demolition_Team#Normandy
SEAL History: Origins of Naval Special Warfare-WWII - National Navy UDT-SEAL Museum,Unit,3/4/19 12:18,"Commando,US,Navy Souts and Raiders",https://www.navysealmuseum.org/about-navy-seals/seal-history-the-naval-special-warfare-storyseal-history-the-naval-special-warfare-story/seal-history-origins-of-naval-special-warfare-wwii
SEAL History: First Airborne Frogmen - National Navy UDT-SEAL Museum,Unit,3/4/19 12:21,"Navy,US,Navy Souts and Raiders",https://www.navysealmuseum.org/about-navy-seals/seal-history-the-naval-special-warfare-storyseal-history-the-naval-special-warfare-story/seal-history-first-airborne-frogmen
"'Wartime Army Commandos' by Brig. Peter Young DSO, MC | Commando Veterans Archive",Unit,3/4/19 12:40,"UK,Commando,WWII",http://www.commandoveterans.org/wartime_army_commandos
WW2 Commandos | Commando Veterans Archive,Unit,3/4/19 12:41,"UK,Commando,WWII",http://www.commandoveterans.org/site/history
Commando Battle Honours | Commando Veterans Archive,Unit,3/4/19 12:42,"UK,Commando,WWII",http://www.commandoveterans.org/battle_honours
'History and Training 1940 -1945' | Commando Veterans Archive,Unit,3/4/19 12:43,"UK,Commando,WWII",http://www.commandoveterans.org/Commando_History_and_Training
A timeline of Commando Training | Commando Veterans Archive,Unit,3/4/19 12:44,"UK,Commando,WWII,Timeline",http://www.commandoveterans.org/EarlyCommandoTraining
1 Commando | Commando Veterans Archive,Unit,3/4/19 12:45,"UK,Commando,WWII",http://www.commandoveterans.org/1Commando
2 Commando | Commando Veterans Archive,Unit,3/4/19 12:45,"UK,Commando,WWII",http://www.commandoveterans.org/2Commando
3 Commando | Commando Veterans Archive,Unit,3/4/19 12:46,"UK,Commando,WWII",http://www.commandoveterans.org/3Commando
4 Commando | Commando Veterans Archive,Unit,3/4/19 12:46,"UK,Commando,WWII",http://www.commandoveterans.org/4Commando
5 Commando | Commando Veterans Archive,Unit,3/4/19 12:46,"UK,Commando,WWII",http://www.commandoveterans.org/5Commando
6 Commando | Commando Veterans Archive,Unit,3/4/19 12:47,"UK,Commando,WWII",http://www.commandoveterans.org/6Commando
7 Commando | Commando Veterans Archive,Unit,3/4/19 12:47,"UK,Commando,WWII",http://www.commandoveterans.org/7Commando
8 Commando | Commando Veterans Archive,Unit,3/4/19 12:47,"UK,Commando,WWII",http://www.commandoveterans.org/8Commando
9 Commando | Commando Veterans Archive,Unit,3/4/19 12:48,"UK,Commando,WWII",http://www.commandoveterans.org/9Commando
10 Commando | Commando Veterans Archive,Unit,3/4/19 12:48,"UK,Commando,WWII",http://www.commandoveterans.org/10Commando
11 Commando | Commando Veterans Archive,Unit,3/4/19 12:48,"UK,Commando,WWII",http://www.commandoveterans.org/11Commando
12 Commando | Commando Veterans Archive,Unit,3/4/19 12:48,"UK,Commando,WWII",http://www.commandoveterans.org/twelve_commando
14 Commando | Commando Veterans Archive,Unit,3/4/19 12:49,"UK,Commando,WWII",http://www.commandoveterans.org/14Commando
'Layforce' | Commando Veterans Archive,Unit,3/4/19 12:49,"UK,Commando,WWII",http://www.commandoveterans.org/LayforceCommando
51ME Commando | Commando Veterans Archive,Unit,3/4/19 12:49,"UK,Commando,WWII",http://www.commandoveterans.org/51MEComando1941
40RM Commando | Commando Veterans Archive,Unit,3/4/19 12:50,"UK,Commando,WWII",http://www.commandoveterans.org/40RMCommando
41RM Commando | Commando Veterans Archive,Unit,3/4/19 12:50,"UK,Commando,WWII",http://www.commandoveterans.org/41RMCommando
42RM Commando | Commando Veterans Archive,Unit,3/4/19 12:51,"UK,Commando,WWII",http://www.commandoveterans.org/42RMCommando
43RM Commando | Commando Veterans Archive,Unit,3/4/19 12:51,"UK,Commando,WWII",http://www.commandoveterans.org/43RMCommando
44RM Commando | Commando Veterans Archive,Unit,3/4/19 12:51,"UK,Commando,WWII",http://www.commandoveterans.org/44RMCommando
45RM Commando | Commando Veterans Archive,Unit,3/4/19 12:51,"UK,Commando,WWII",http://www.commandoveterans.org/45RMCommando
46RM Commando | Commando Veterans Archive,Unit,3/4/19 12:52,"UK,Commando,WWII",http://www.commandoveterans.org/46RMCommando
47RM Commando | Commando Veterans Archive,Unit,3/4/19 12:52,"UK,Commando,WWII",http://www.commandoveterans.org/47RMCommando
48RM Commando | Commando Veterans Archive,Unit,3/4/19 12:52,"UK,Commando,WWII",http://www.commandoveterans.org/48RMCommando
'RM Engineer Commando' | Commando Veterans Archive,Unit,3/4/19 12:52,"UK,Commando,WWII",http://www.commandoveterans.org/RMEngineerCommando
30 Commando Assault Unit | Commando Veterans Archive,Unit,3/4/19 12:53,"UK,Commando,WWII",http://www.commandoveterans.org/30Commando
Special Service Brigade & Signals Troops | Commando Veterans Archive,Unit,3/4/19 12:53,"UK,Commando,WWII",http://www.commandoveterans.org/SpecialServiceBde
Holding Operational Commando | Commando Veterans Archive,Unit,3/4/19 12:54,"UK,Commando,WWII",http://www.commandoveterans.org/HoldingOperationalCommando
'RN Beach Commando units' | Commando Veterans Archive,Unit,3/4/19 12:55,"UK,Commando,WWII",http://www.commandoveterans.org/RNCommandosHistoryA_B
A history of 'W' Commando | Commando Veterans Archive,Unit,3/4/19 12:55,"UK,Commando,WWII",http://www.commandoveterans.org/RNCommandosWSectionCanada
Servicing Commando Units (RAF) | Commando Veterans Archive,Unit,3/4/19 12:56,"UK,Commando,WWII",http://www.commandoveterans.org/ServicingCommandosRAF
Combined Operations | Commando Veterans Archive,Unit,3/4/19 12:56,"UK,Commando,WWII",http://www.commandoveterans.org/CombinedOperations
Combined Operations Headquarters | Commando Veterans Archive,Unit,3/4/19 12:56,"UK,Commando,WWII",http://www.commandoveterans.org/CombinedOperationsHQ
